rotate_angle,37.7
start_offset_in_pixels,1326,1223
start,398983.226178255,6178426.91677004
finish,393451.326504086,6178010.09647087
31,398439.460474409,6178623.73944493
32,397885.626725415,6179984.55245218
33,398311.238916842,6178336.69321212
34,394756.682377139,6177934.67599541
35,398209.571578574,6179018.6251582
36,396796.225528742,6179653.00133363
37,394271.598119572,6179163.15378543
38,397808.686189565,6179419.16122764
39,394402.14775403,6178672.69394409
40,396299.680307542,6178298.96477864
41,398128.121719894,6179400.05353446
42,396225.232119734,6180417.72717925
43,397229.306687087,6179105.21013901
44,395017.032263667,6179365.79451545
45,398762.540130671,6178852.87569124
46,397856.022859992,6178421.30738957
47,396885.99992462,6178754.1481392
48,396847.905000293,6180221.30845146
51,397436.415281315,6180747.66503045
52,398810.33359745,6178140.07894091
53,397793.48455973,6178807.48460178
54,396459.643215384,6179110.3988833
55,395977.99669473,6179362.92833604
56,394903.437722644,6178561.76300667
61,393939,6177310
62,397468.586408387,6177984.97180832
63,397477.931510003,6179566.70235716
64,398157.975691922,6177923.59875214
65,395756.485435981,6179649.06109902
66,394128.139846932,6178411.75087158
